SECTION;LEVEL;LAGERID
1;1;15
1;2;7
1;3;87
2;1;2
2;2;57
2;3;3
3;1;70
3;2;48
3;3;26
4;1;19
4;2;122
4;3;60
5;1;44
5;2;49
5;3;124
6;1;17
6;2;54
6;3;16
7;1;29
7;2;53
7;3;14
8;1;123
8;2;114
8;3;21
9;1;9
9;2;94
9;3;1
10;1;51
10;2;98
10;3;130
11;1;12
11;2;55
11;3;84
12;1;32
12;2;91
12;3;125
13;1;129
13;2;65
13;3;10
14;1;119
14;2;74
14;3;35
15;1;30
15;2;69
15;3;83
16;1;5
16;2;116
16;3;46
17;1;28
17;2;90
17;3;50
18;1;18
18;2;78
18;3;99
19;1;41
19;2;131
19;3;115
20;1;104
20;2;80
20;3;93
21;1;25
21;2;66
21;3;61
22;1;22
22;2;108
22;3;86
23;1;27
23;2;79
23;3;117
24;1;121
24;2;77
24;3;67
25;1;42
25;2;82
25;3;20
26;1;31
26;2;85
26;3;23
27;1;62
27;2;97
27;3;68
28;1;34
28;2;73
28;3;118
29;1;40
29;2;47
29;3;6
30;1;110
30;2;81
30;3;128
31;1;33
31;2;107
31;3;24
32;1;126
32;2;127
32;3;89
33;1;37
33;2;64
33;3;106
34;1;100
34;2;75
34;3;88
35;1;95
35;2;4
35;3;105
36;1;109
36;2;58
36;3;71
37;1;38
37;2;72
37;3;13
38;1;59
38;2;36
38;3;111
39;1;39
39;2;11
39;3;45
40;1;43
40;2;132
40;3;96
41;1;92
41;2;103
41;3;63
42;1;52
42;2;113
42;3;102
43;1;112
43;2;120
43;3;76
44;1;56
44;2;101
44;3;8
